semantic_category,tag_clean,n_uses,n_movies,n_users,top_user_share,pct_movies,idf
intensity_darkness,violent,1555,243,644,0.02122186495176849,0.011284480356645305,5.480266572195009
intensity_darkness,scary,523,157,295,0.028680688336520075,0.007290795950589765,5.914839764461244
intensity_darkness,domestic violence,235,151,79,0.4127659574468085,0.007012166805981239,5.953554276641935
intensity_darkness,suspenseful,982,126,542,0.012219959266802444,0.005851212036779047,6.13324771102962
intensity_darkness,brutal,648,125,367,0.05555555555555555,0.005804773846010959,6.141152890536733
intensity_darkness,bloody,323,92,208,0.07430340557275542,0.004272313550664066,6.444835304334955
intensity_darkness,graphic violence,196,92,112,0.3673469387755102,0.004272313550664066,6.444835304334955
intensity_darkness,gory,216,83,154,0.041666666666666664,0.003854369833751277,6.546617998644897
intensity_darkness,tragic hero,151,83,66,0.4900662251655629,0.003854369833751277,6.546617998644897
intensity_darkness,sexual violence,122,73,63,0.4672131147540984,0.0033899879260704,6.673369704284041
intensity_darkness,tragic,144,60,117,0.034722222222222224,0.0027862914460852605,6.8665609333149
intensity_darkness,not scary,81,49,57,0.07407407407407407,0.002275471347636296,7.065411792060065
intensity_darkness,sexualized violence,223,43,136,0.13004484304932734,0.00199684220302777,7.19324516356995
intensity_darkness,brutal violence,93,38,62,0.25806451612903225,0.0017646512491873317,7.313873151358565
intensity_darkness,serial killers,63,36,34,0.19047619047619047,0.0016717748676511562,7.366516884843986
intensity_darkness,gratuitous violence,201,31,157,0.01990049751243781,0.001439583913810718,7.511698894688484
intensity_darkness,murder plot,34,27,10,0.5882352941176471,0.0012538311507383673,7.645230287313007
intensity_darkness,comic violence,47,23,27,0.425531914893617,0.0010680783876660166,7.799380967140265
narrative_structure,surprise ending,1379,739,435,0.48368382886149386,0.03431782297761679,4.370784611289995
narrative_structure,time travel,4740,578,1504,0.10253164556962026,0.026841274263954676,4.6161323199152156
narrative_structure,twist ending,6600,386,2088,0.008181818181818182,0.01792514163648184,5.019010104458429
narrative_structure,plot twist,2396,280,1031,0.021285475792988316,0.01300269341506455,5.339080128154465
narrative_structure,nonlinear timeline,399,228,154,0.5338345864661654,0.01058790749512399,5.543712793933971
narrative_structure,bad ending,530,214,311,0.04339622641509434,0.009937772824370762,5.606796769360548
narrative_structure,ending,470,198,258,0.05531914893617021,0.00919476177208136,5.684129972763719
narrative_structure,narrated,757,191,331,0.10435931307793923,0.008869694436704746,5.71993942546043
narrative_structure,happy ending,685,186,366,0.04817518248175182,0.008637503482864307,5.746326180633624
narrative_structure,mindfuck,3457,178,1385,0.014752675730402082,0.008265997956719607,5.790048991647456
narrative_structure,confusing,680,178,399,0.020588235294117647,0.008265997956719607,5.790048991647456
narrative_structure,twist,661,153,388,0.025718608169440244,0.007105043187517414,5.940482195074582
narrative_structure,dialogue driven,703,149,379,0.05405405405405406,0.006919290424445064,5.966799503391955
narrative_structure,narration,167,133,59,0.47904191616766467,0.006176279372155661,6.079594997537299
narrative_structure,nonlinear,2097,129,1069,0.013829279923700524,0.00599052660908331,6.109900347032629
narrative_structure,multiple storylines,1514,129,804,0.03236459709379128,0.00599052660908331,6.109900347032629
narrative_structure,sad ending,280,128,183,0.04285714285714286,0.005944088418315222,6.117622393126539
narrative_structure,ambiguous ending,242,123,125,0.3677685950413223,0.005711897464474784,6.157153231883174
narrative_structure,murder mystery,477,116,309,0.09853249475890985,0.00538683012909817,6.215260862690455
narrative_structure,cerebral,827,101,444,0.045949214026602174,0.004690257267576855,6.35246198420394
theme,coming of age,4494,1029,1133,0.09768580329327993,0.04778489830036222,4.040120716264529
theme,father daughter relationship,1517,974,287,0.5056031641397495,0.045230797808117396,4.094997326490364
theme,family relationships,1305,925,245,0.5379310344827586,0.0429553264604811,4.146560562842032
theme,politics,2416,836,718,0.1767384105960265,0.0388223274821213,4.247610726998736
theme,religion,2163,776,651,0.15996301433194637,0.036036036036036036,4.321994447120563
theme,social commentary,5201,692,1529,0.030763314747164008,0.03213522801151667,4.436404798298307
theme,mental illness,2698,578,942,0.0770941438102298,0.026841274263954676,4.6161323199152156
theme,racism,1718,576,577,0.17636786961583237,0.0267483978824185,4.619592530980111
theme,alien,992,488,229,0.4586693548387097,0.022661837094826786,4.785072308013339
theme,obsession,946,468,329,0.3583509513742072,0.021733073279465033,4.826832029041931
theme,dystopia,5713,441,1568,0.05916331174514266,0.020479242128726666,4.886124915410512
theme,redemption,814,416,289,0.3071253071253071,0.019318287359524473,4.94434857568941
theme,loneliness,1635,399,688,0.15229357798165138,0.01852883811646698,4.985970250380229
theme,aliens,3642,391,976,0.03871499176276771,0.018157332590322282,5.006172957697748
theme,memory,1031,386,402,0.3297769156159069,0.01792514163648184,5.019010104458429
theme,grief,552,354,162,0.3858695652173913,0.016439119531903038,5.105317008012795
theme,psychological,4081,353,1483,0.01274197500612595,0.01639268134113495,5.108137884354437
theme,father-son relationship,1218,348,458,0.052545155993431854,0.016160490387294512,5.122362875285784
theme,psychology,4847,326,1675,0.013410356921807304,0.015138850190396583,5.187474626590958
theme,space,3971,306,1376,0.0319818685469655,0.014210086375034828,5.250587049901013
tone_atmosphere,atmospheric,10088,817,2205,0.02111419508326725,0.03794000185752763,4.2705724608854645
tone_atmosphere,dark,4825,522,1527,0.011606217616580311,0.024240735580941766,4.717853333423288
tone_atmosphere,disturbing,4053,430,1343,0.028620774734764372,0.0199684220302777,4.911326707384463
tone_atmosphere,tense,2643,415,948,0.06999621642073402,0.019271849168756384,4.946749537226948
tone_atmosphere,sad,885,323,465,0.02711864406779661,0.01499953561809232,5.196691281695881
tone_atmosphere,weird,1571,313,714,0.016549968173138127,0.014535153710411442,5.228041811579957
tone_atmosphere,haunting,330,281,65,0.4666666666666667,0.013049131605832636,5.335527726550097
tone_atmosphere,bittersweet,2757,270,1065,0.023939064200217627,0.012538311507383673,5.37531597660851
tone_atmosphere,creepy,1417,265,623,0.03458009880028229,0.012306120553543234,5.393938488706512
tone_atmosphere,depressing,1218,247,661,0.012315270935960592,0.011470233119717656,5.464006051323229
tone_atmosphere,gritty,1121,231,472,0.06155218554861731,0.010727222067428254,5.530697425821901
tone_atmosphere,heartwarming,1507,222,727,0.019243530192435302,0.010309278350515464,5.570263026028092
tone_atmosphere,feel-good,1244,210,689,0.013665594855305467,0.009752020061298413,5.6255766640121445
tone_atmosphere,dark humor,1735,188,894,0.016714697406340056,0.008730379864400483,5.735687782428569
tone_atmosphere,bleak,566,180,250,0.17314487632508835,0.008358874338255782,5.778937766222385
tone_atmosphere,hope,334,173,156,0.40718562874251496,0.008033807002879168,5.818379498273682
tone_atmosphere,melancholy,798,155,425,0.06766917293233082,0.0071979195690535895,5.927578790238674
tone_atmosphere,nostalgic,531,155,311,0.054613935969868174,0.0071979195690535895,5.927578790238674
tone_atmosphere,tension,424,139,251,0.21226415094339623,0.006454908516764187,6.035792374878906
tone_atmosphere,absurdism,232,133,98,0.5,0.006176279372155661,6.079594997537299
visual_style,surrealism,1752,774,602,0.4035388127853881,0.03594315965449986,4.324571768134864
visual_style,cinematography,5429,757,1513,0.01565665868484067,0.03515371041144237,4.3467514118458395
visual_style,surreal,7480,688,2080,0.011229946524064172,0.03194947524844432,4.4421935264745525
visual_style,black and white,1940,554,605,0.0577319587628866,0.025726757685520574,4.658466683741777
visual_style,stylized,4948,485,1370,0.04042037186742118,0.02252252252252252,4.791226173587717
visual_style,visually appealing,7253,481,2092,0.0074451950916861985,0.022336769759450172,4.799490683437611
visual_style,neo-noir,1243,258,507,0.13596138374899436,0.01198105321816662,5.420606735788673
visual_style,dreamlike,2759,225,1071,0.021022109459949256,0.010448592922819726,5.556899798215925
visual_style,photography,531,205,278,0.192090395480226,0.009519829107457974,5.64955862869863
visual_style,visually stunning,2059,191,1000,0.011170471102476931,0.008869694436704746,5.71993942546043
visual_style,experimental,350,175,165,0.2885714285714286,0.008126683384415342,5.806950802450059
visual_style,stop motion,564,158,263,0.1595744680851064,0.007337234141357852,5.90853059526798
visual_style,stylized violence,307,145,132,0.40390879478827363,0.006733537661372713,5.993828175779875
visual_style,colorful,511,96,307,0.029354207436399216,0.004458066313736417,6.402723818984828
visual_style,slow motion,127,72,62,0.3228346456692913,0.0033435497353023124,6.68697535633982
visual_style,practical effects,228,69,153,0.06140350877192982,0.0032042351629980497,6.728939555438852
visual_style,great cinematography,564,67,379,0.010638297872340425,0.003111358781461874,6.757927092312104
visual_style,visually striking,237,59,149,0.17721518987341772,0.0027398532553171728,6.883090235266111
visual_style,beautiful cinematography,316,50,237,0.028481012658227847,0.0023219095384043836,7.045609164763885
visual_style,shaky camera,220,50,147,0.05454545454545454,0.0023219095384043836,7.045609164763885
